Empresa,Classe,Codigo_old,,Setor,Segmento,Codigo
BBSeguridade,ON,BBSE3,.SA,Financeiro,Seguradoras,BBSE3.SA
Betapart,ON,BETP3B,.SA,Financeiro,Outros,BETP3B.SA
Bic Monark,ON,BMKS3,.SA,Consumo ciclico,Bicicletas,BMKS3.SA
Biomm,ON,BIOM3,.SA,Saude,Medicamentos e outros produtos,BIOM3.SA
Biosev,ON,BSEV3,.SA,Consumo no ciclico,Acar e  lcool,BSEV3.SA
Biotoscana,ON,GBIO33,.SA,Saude,Medicamentos e outros produtos,GBIO33.SA
Bk Brasil,ON,BKBR3,.SA,Consumo ciclico,Restaurante e similares,BKBR3.SA
Bombril,ON,BOBR3,.SA,Consumo no ciclico,Produtos de limpeza,BOBR3.SA
Bombril,PN,BOBR4,.SA,Consumo no ciclico,Produtos de limpeza,BOBR4.SA
BR Brokers,ON,BBRK3,.SA,Financeiro,Intermediao imobili ria,BBRK3.SA
BR Malls Par,ON,BRML3,.SA,Financeiro,Explorao de imveis,BRML3.SA
BR Propert,ON,BRPR3,.SA,Financeiro,Explorao de imveis,BRPR3.SA
Bradesco,ON,BBDC3,.SA,Financeiro,Bancos,BBDC3.SA
Bradesco,PN,BBDC4,.SA,Financeiro,Bancos,BBDC4.SA
Bradespar,ON,BRAP3,.SA,Materiais basicos,Minerais met licos,BRAP3.SA
Bradespar,PN,BRAP4,.SA,Materiais basicos,Minerais met licos,BRAP4.SA
Brasil,ON,BBAS3,.SA,Financeiro,Bancos,BBAS3.SA
Brasilagro,ON,AGRO3,.SA,Consumo no ciclico,Agricultura,AGRO3.SA
Braskem,ON,BRKM3,.SA,Materiais basicos,Petroquimicos,BRKM3.SA
Braskem,PNA,BRKM5,.SA,Materiais basicos,Petroquimicos,BRKM5.SA
Braskem,PNB,BRKM6,.SA,Materiais basicos,Petroquimicos,BRKM6.SA
BRB Banco,ON,BSLI3,.SA,Financeiro,Bancos,BSLI3.SA
BRB Banco,PN,BSLI4,.SA,Financeiro,Bancos,BSLI4.SA
BRF SA,ON,BRFS3,.SA,Consumo no ciclico,Carnes e derivados,BRFS3.SA
Brq,ON,BRQB3,.SA,Tecnologia da informao,Programas e servios,BRQB3.SA
Btgp Banco,ON,BPAC3,.SA,Financeiro,Bancos,BPAC3.SA
Btgp Banco,PNA,BPAC5,.SA,Financeiro,Bancos,BPAC5.SA
Btgp Banco,UNT,BPAC11,.SA,Financeiro,Bancos,BPAC11.SA
Cabinda Part,ON,CABI3B,.SA,Financeiro,Outros,CABI3B.SA
Caconde Part,ON,CACO3B,.SA,Financeiro,Outros,CACO3B.SA
Cambuci,ON,CAMB3,.SA,Consumo ciclico,Calados,CAMB3.SA
Camil,ON,CAML3,.SA,Consumo no ciclico,Alimentos diversos,CAML3.SA
Capitalpart,ON,CPTP3B,.SA,Financeiro,Outros,CPTP3B.SA
Carrefour BR,ON,CRFB3,.SA,Consumo no ciclico,Alimentos,CRFB3.SA
Casan,ON,CASN3,.SA,Utilidade pblica,gua e saneamento,CASN3.SA
Casan,PN,CASN4,.SA,Utilidade pblica,gua e saneamento,CASN4.SA
