Empresa,Classe,Codigo,Setor,Segmento
Coteminas,ON,CTNM3,Consumo ciclico,Fios e tecidos
Coteminas,PN,CTNM4,Consumo ciclico,Fios e tecidos
CPFL Energia,ON,CPFE3,Utilidade pblica,Energia eletrica
CPFL Renovav,ON,CPRE3,Utilidade pblica,Energia eletrica
Cr2,ON,CRDE3,Consumo ciclico,Incorporaes
Cristal,ON,CRPG3,Materiais basicos,Quimicos diversos
Cristal,PNA,CRPG5,Materiais basicos,Quimicos diversos
Cristal,PNB,CRPG6,Materiais basicos,Quimicos diversos
Csu Cardsyst,ON,CARD3,Bens industriais,Servios diversos
Ctc S.A.,ON,CTCA3,Consumo no ciclico,Agricultura
Cvc Brasil,ON,CVCB3,Consumo ciclico,Viagens e turismo
Cyre ComCcp,ON,CCPR3,Financeiro,Explorao de imveis
Cyrela Realt,ON,CYRE3,Consumo ciclico,Incorporaes
Dasa,ON,DASA3,Sade,Servios medicohospitalares an lises e diagnsticos
Dimed,ON,PNVL3,Sade,Medicamentos e outros produtos
Dimed,PN,PNVL4,Sade,Medicamentos e outros produtos
Direcional,ON,DIRR3,Consumo ciclico,Incorporaes
Dohler,ON,DOHL3,Consumo ciclico,Fios e tecidos
Dohler,PN,DOHL4,Consumo ciclico,Fios e tecidos
Dommo,ON,DMMO3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Dtcom Direct,ON,DTCY3,Bens industriais,Servios diversos
Dtcom Direct,PN,DTCY4,Bens industriais,Servios diversos
Duratex,ON,DTEX3,Materiais basicos,Madeira
Ecorodovias,ON,ECOR3,Bens industriais,Explorao de rodovias
Elekeiroz,ON,ELEK3,Materiais basicos,Petroquimicos
Elekeiroz,PN,ELEK4,Materiais basicos,Petroquimicos
Elektro,ON,EKTR3,Utilidade pblica,Energia eletrica
Elektro,PN,EKTR4,Utilidade pblica,Energia eletrica
Eletrobras,ON,ELET3,Utilidade pblica,Energia eletrica
Eletrobras,PNA,ELET5,Utilidade pblica,Energia eletrica
Eletrobras,PNB,ELET6,Utilidade pblica,Energia eletrica
Eletron,ON,ETRO3B,Financeiro,Outros
Eletropar,ON,LIPR3,Utilidade pblica,Energia eletrica
Emae,ON,EMAE3,Utilidade pblica,Energia eletrica
Emae,PN,EMAE4,Utilidade pblica,Energia eletrica
Embraer,ON,EMBR3,Bens industriais,Material aeron utico e de defesa
Enauta Part,ON,ENAT3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Encorpar,ON,ECPR3,Consumo ciclico,Fios e tecidos
Encorpar,PN,ECPR4,Consumo ciclico,Fios e tecidos
Energias BR,ON,ENBR3,Utilidade pblica,Energia eletrica
Energisa,ON,ENGI3,Utilidade pblica,Energia eletrica
Energisa,PN,ENGI4,Utilidade pblica,Energia eletrica
Energisa,UNT N2,ENGI11,Utilidade pblica,Energia eletrica
Energisa Mt,ON,ENMT3,Utilidade pblica,Energia eletrica
Energisa Mt,PN,ENMT4,Utilidade pblica,Energia eletrica
Eneva,ON,ENEV3,Utilidade pblica,Energia eletrica
Engie Brasil,ON,EGIE3,Utilidade pblica,Energia eletrica
Eqtl Maranhao,ON,EQMA3B,Utilidade pblica,Energia eletrica
Eqtl Maranhao,PNA,EQMA5B,Utilidade pblica,Energia eletrica
Eqtl Maranhao,PNB,EQMA6B,Utilidade pblica,Energia eletrica
Eqtl Para,ON,EQPA3,Utilidade pblica,Energia eletrica
Eqtl Para,PNA,EQPA5,Utilidade pblica,Energia eletrica
Eqtl Para,PNB,EQPA6,Utilidade pblica,Energia eletrica
Eqtl Para,PNC,EQPA7,Utilidade pblica,Energia eletrica
Equatorial,ON,EQTL3,Utilidade pblica,Energia eletrica
Estrela,ON,ESTR3,Consumo ciclico,Brinquedos e jogos
Estrela,PN,ESTR4,Consumo ciclico,Brinquedos e jogos
Eternit,ON,ETER3,Bens industriais,Produtos para construo
Eucatex,ON,EUCA3,Materiais basicos,Madeira
Eucatex,PN,EUCA4,Materiais basicos,Madeira
Even,ON,EVEN3,Consumo ciclico,Incorporaes
Excelsior,ON,BAUH3,Consumo no ciclico,Carnes e derivados
Excelsior,PN,BAUH4,Consumo no ciclico,Carnes e derivados
Eztec,ON,EZTC3,Consumo ciclico,Incorporaes
Fer Heringer,ON,FHER3,Materiais basicos,Fertilizantes e defensivos
Ferbasa,ON,FESA3,Materiais basicos,Siderurgia
Ferbasa,PN,FESA4,Materiais basicos,Siderurgia
Finansinos,ON,FNCN3,Financeiro,Soc. cr‚dito e financiamento
Fleury,ON,FLRY3,Sade,Servios medicohospitalares an lises e diagnsticos
Flex S/A,ON,FLEX3,Bens industriais,Servios diversos
FrasLe,ON,FRAS3,Bens industriais,Material rodoviario
Gafisa,ON,GFSA3,Consumo ciclico,Incorporaes
Gama Part,ON,OPGM3B,Financeiro,Outros
Generalshopp,ON,GSHP3,Financeiro,Explorao de imveis
Ger Paranap,ON,GEPA3,Utilidade pblica,Energia eletrica
Ger Paranap,PN,GEPA4,Utilidade pblica,Energia eletrica
Gerdau,ON,GGBR3,Materiais basicos,Siderurgia
Gerdau,PN,GGBR4,Materiais basicos,Siderurgia
Gerdau Met,ON,GOAU3,Materiais basicos,Siderurgia
Gerdau Met,PN,GOAU4,Materiais basicos,Siderurgia
Gol,PN,GOLL4,Bens industriais,Transporte a‚reo
GP Invest,A,GPIV33,Financeiro,Gesto de recursos e investimentos
GPC Part,ON,GPCP3,Materiais basicos,Petroquimicos
GPC Part,PN,GPCP4,Materiais basicos,Petroquimicos
Grazziotin,ON,CGRA3,Consumo ciclico,Tecidos vestuario e calados
Grazziotin,PN,CGRA4,Consumo ciclico,Tecidos vestuario e calados
Grendene,ON,GRND3,Consumo ciclico,Calados
Grupo Natura,ON,NTCO3,Consumo no ciclico,Produtos de uso pessoal
Guararapes,ON,GUAR3,Consumo ciclico,Tecidos vestuario e calados
Habitasul,ON,HBTS3,Financeiro,Holdings diversificadas
Habitasul,PNA,HBTS5,Financeiro,Holdings diversificadas
Habitasul,PNB,HBTS6,Financeiro,Holdings diversificadas
Haga S/A,ON,HAGA3,Bens industriais,Produtos para construo
Haga S/A,PN,HAGA4,Bens industriais,Produtos para construo
Hapvida,ON,HAPV3,Sade,Servios medicohospitalares an lises e diagnsticos
Helbor,ON,HBOR3,Consumo ciclico,Incorporaes
Hercules,ON,HETA3,Consumo ciclico,Utensilios dom‚sticos
Hercules,PN,HETA4,Consumo ciclico,Utensilios dom‚sticos
Hoteis Othon,ON,HOOT3,Consumo ciclico,Hotelaria
Hoteis Othon,PN,HOOT4,Consumo ciclico,Hotelaria
Hypera,ON,HYPE3,Sade,Medicamentos e outros produtos
Ideiasnet,ON,IDNT3,Tecnologia da informao,Programas e servios
IGB S/A,ON,IGBR3,Consumo ciclico,Eletrodom‚sticos
Igua SA,ON,IGSN3,Utilidade pblica,gua e saneamento
Iguatemi,ON,IGTA3,Financeiro,Explorao de imveis
Ihpardini,ON,PARD3,Sade,Servios medicohospitalares an lises e diagnsticos
Imc S/A,ON,MEAL3,Consumo ciclico,Restaurante e similares
Ind Cataguas,ON,CATA3,Consumo ciclico,Fios e tecidos
Ind Cataguas,PN,CATA4,Consumo ciclico,Fios e tecidos
Inds Romi,ON,ROMI3,Bens industriais,M q. e equip. industriais
Indusval,ON,IDVL3,Financeiro,Bancos
Indusval,PN,IDVL4,Financeiro,Bancos
Inepar,ON,INEP3,Bens industriais,M q. e equip. industriais
Inepar,PN,INEP4,Bens industriais,M q. e equip. industriais
Inter SA,ON,INNT3,Consumo ciclico,Incorporaes
Intermedica,ON,GNDI3,Sade,Servios medicohospitalares an lises e diagnsticos
Invepar,ON,IVPR3B,Bens industriais,Explorao de rodovias
Invepar,PN,IVPR4B,Bens industriais,Explorao de rodovias
Invest Bemge,ON,FIGE3,Financeiro,Outros
Invest Bemge,PN,FIGE4,Financeiro,Outros
IochpMaxion,ON,MYPK3,Consumo ciclico,Automveis e motocicletas
Irbbrasil Re,ON,IRBR3,Financeiro,Seguradoras
Itausa,ON,ITSA3,Financeiro,Bancos
Itausa,PN,ITSA4,Financeiro,Bancos
ItauUnibanco,ON,ITUB3,Financeiro,Bancos
ItauUnibanco,PN,ITUB4,Financeiro,Bancos
J B Duarte,ON,JBDU3,Financeiro,Holdings diversificadas
J B Duarte,PN,JBDU4,Financeiro,Holdings diversificadas
JBS,ON,JBSS3,Consumo no ciclico,Carnes e derivados
Jereissati,ON,JPSA3,Financeiro,Explorao de imveis
Jereissati,PN,JPSA4,Financeiro,Explorao de imveis
JHSF Part,ON,JHSF3,Consumo ciclico,Incorporaes
Joao Fortes,ON,JFEN3,Consumo ciclico,Incorporaes
Josapar,ON,JOPA3,Consumo no ciclico,Alimentos diversos
Josapar,PN,JOPA4,Consumo no ciclico,Alimentos diversos
JSL,ON,JSLG3,Bens industriais,Transporte rodoviario
Karsten,ON,CTKA3,Consumo ciclico,Fios e tecidos
Karsten,PN,CTKA4,Consumo ciclico,Fios e tecidos
Kepler Weber,ON,KEPL3,Bens industriais,M q. e equip. industriais
Klabin S/A,ON,KLBN3,Materiais basicos,Papel e celulose
Klabin S/A,PN,KLBN4,Materiais basicos,Papel e celulose
Klabin S/A,UNT N2,KLBN11,Materiais basicos,Papel e celulose
Le Lis Blanc,ON,LLIS3,Consumo ciclico,Tecidos vestuario e calados
Lifemed,ON,LMED3,,
Light S/A,ON,LIGT3,Utilidade pblica,Energia eletrica
Linx,ON,LINX3,Tecnologia da informao,Programas e servios
Liq,ON,LIQO3,Bens industriais,Servios diversos
Litel,ON,LTEL3B,Materiais basicos,Minerais met licos
Litel,PRB,LTEL11B,Materiais basicos,Minerais met licos
Litela,ON,LTLA3B,Materiais basicos,Minerais met licos
Localiza,ON,RENT3,Consumo ciclico,Aluguel de carros
Locamerica,ON,LCAM3,Consumo ciclico,Aluguel de carros
Locaweb,ON,LWSA3,Tecnologia da informao,Programas e servios
Log Com Prop,ON,LOGG3,Financeiro,Explorao de imveis
LogIn,ON,LOGN3,Bens industriais,Transporte hidroviario
Lojas Americ,ON,LAME3,Consumo ciclico,Produtos diversos
Lojas Americ,PN,LAME4,Consumo ciclico,Produtos diversos
Lojas Marisa,ON,AMAR3,Consumo ciclico,Tecidos vestuario e calados
Lojas Renner,ON,LREN3,Consumo ciclico,Tecidos vestuario e calados
Longdis,ON,SPRT3B,Financeiro,Outros
Lopes Brasil,ON,LPSB3,Financeiro,Intermediao imobili ria
Lupatech,ON,LUPA3,Petrleo g s e biocombustiveis,Equipamentos e servios
M.Diasbranco,ON,MDIA3,Consumo no ciclico,Alimentos diversos
Maestroloc,ON,MSRO3,Consumo ciclico,Aluguel de carros
Magaz Luiza,ON,MGLU3,Consumo ciclico,Eletrodom‚sticos
Mangels Indl,ON,MGEL3,Materiais basicos,Artefatos de ferro e ao
Mangels Indl,PN,MGEL4,Materiais basicos,Artefatos de ferro e ao
Marcopolo,ON,POMO3,Bens industriais,Material rodoviario
Marcopolo,PN,POMO4,Bens industriais,Material rodoviario
Marfrig,ON,MRFG3,Consumo no ciclico,Carnes e derivados
Melhor SP,ON,MSPA3,Consumo ciclico,Jornais livros e revistas
Melhor SP,PN,MSPA4,Consumo ciclico,Jornais livros e revistas
Mendes Jr,ON,MEND3,Bens industriais,Construo pesada
Mendes Jr,PNA,MEND5,Bens industriais,Construo pesada
Mendes Jr,PNB,MEND6,Bens industriais,Construo pesada
Menezes Cort,ON,MNZC3B,Financeiro,Explorao de imveis
Merc Brasil,ON,BMEB3,Financeiro,Bancos
Merc Brasil,PN,BMEB4,Financeiro,Bancos
Merc Financ,ON,MERC3,Financeiro,Soc. cr‚dito e financiamento
Merc Financ,PN,MERC4,Financeiro,Soc. cr‚dito e financiamento
Merc Invest,ON,BMIN3,Financeiro,Bancos
Merc Invest,PN,BMIN4,Financeiro,Bancos
Metal Iguacu,ON,MTIG3,Materiais basicos,Embalagens
Metal Iguacu,PN,MTIG4,Materiais basicos,Embalagens
Metal Leve,ON,LEVE3,Consumo ciclico,Automveis e motocicletas
Metalfrio,ON,FRIO3,Bens industriais,M q. e equip. industriais
Metisa,ON,MTSA3,Bens industriais,M q. e equip. construo e agricolas
Metisa,PN,MTSA4,Bens industriais,M q. e equip. construo e agricolas
Mills,ON,MILS3,Bens industriais,Servios diversos
Minasmaquinas,ON,MMAQ3,Bens industriais,Material de transporte
Minasmaquinas,PN,MMAQ4,Bens industriais,Material de transporte
Minerva,ON,BEEF3,Consumo no ciclico,Carnes e derivados
Minupar,ON,MNPR3,Consumo no ciclico,Carnes e derivados
Mitre,ON,MTRE3,Consumo no ciclico,Incorporaes
MMX Miner,ON,MMXM3,Materiais basicos,Minerais met licos
Mont Aranha,ON,MOAR3,Financeiro,Holdings diversificadas
Movida,ON,MOVI3,Consumo ciclico,Aluguel de carros
Mrs Logist,ON,MRSA3B,Bens industriais,Transporte ferroviario
Mrs Logist,PNA,MRSA5B,Bens industriais,Transporte ferroviario
Mrs Logist,PNB,MRSA6B,Bens industriais,Transporte ferroviario
MRV,ON,MRVE3,Consumo ciclico,Incorporaes
Multiplan,ON,MULT3,Financeiro,Explorao de imveis
Mundial,ON,MNDL3,Consumo ciclico,Acessrios
Nadir Figuei,ON,NAFG3,Consumo ciclico,Utensilios dom‚sticos
Nadir Figuei,PN,NAFG4,Consumo ciclico,Utensilios dom‚sticos
Neoenergia,ON,NEOE3,Utilidade pblica,Energia eletrica
Nord Brasil,ON,BNBR3,Financeiro,Bancos
Nordon Met,ON,NORD3,Bens industriais,M q. e equip. industriais
Nortcquimica,ON,NRTQ3,Sade,Medicamentos e outros produtos
Nutriplant,ON,NUTR3,Materiais basicos,Fertilizantes e defensivos
Oderich,ON,ODER3,Consumo no ciclico,Alimentos diversos
Oderich,PN,ODER4,Consumo no ciclico,Alimentos diversos
Odontoprev,ON,ODPV3,Sade,Servios medicohospitalares an lises e diagnsticos
Oi,ON,OIBR3,Comunicaes,Telecomunicaes
Oi,PN,OIBR4,Comunicaes,Telecomunicaes
Omega Ger,ON,OMGE3,Utilidade pblica,Energia eletrica
Opport Energ,ON,OPHE3B,Financeiro,Outros
OSX Brasil,ON,OSXB3,Petrleo g s e biocombustiveis,Equipamentos e servios
Ourofino S/A,ON,OFSA3,Sade,Medicamentos e outros produtos
P.AcucarCbd,ON,PCAR3,Consumo no ciclico,Alimentos
