Empresa,Classe,Codigo,Setor,Segmento
Ccx Carvao,ON,CCXC3,Outros,Minerais no met licos
Cea Modas,ON,CEAB3,Consumo ciclico,Tecidos vestuario e calados
Ceb,ON,CEBR3,Utilidade pblica,Energia eletrica
Ceb,PNA,CEBR5,Utilidade pblica,Energia eletrica
Ceb,PNB,CEBR6,Utilidade pblica,Energia eletrica
Cedro,ON,CEDO3,Consumo ciclico,Fios e tecidos
Cedro,PN,CEDO4,Consumo ciclico,Fios e tecidos
CeeeD,ON,CEED3,Utilidade pblica,Energia eletrica
CeeeD,PN,CEED4,Utilidade pblica,Energia eletrica
CeeeGt,ON,EEEL3,Utilidade pblica,Energia eletrica
CeeeGt,PN,EEEL4,Utilidade pblica,Energia eletrica
Ceg,ON,CEGR3,Utilidade pblica,G s
Celesc,ON,CLSC3,Utilidade pblica,Energia eletrica
Celesc,PN,CLSC4,Utilidade pblica,Energia eletrica
Celgpar,ON,GPAR3,Utilidade pblica,Energia eletrica
Celpe,ON,CEPE3,Utilidade pblica,Energia eletrica
Celpe,PNA,CEPE5,Utilidade pblica,Energia eletrica
Celpe,PNB,CEPE6,Utilidade pblica,Energia eletrica
Celul Irani,ON,RANI3,Materiais basicos,Papel e celulose
Celul Irani,PN,RANI4,Materiais basicos,Papel e celulose
Cemepe,ON,MAPT3,Financeiro,Outros
Cemepe,PN,MAPT4,Financeiro,Outros
Cemig,ON,CMIG3,Utilidade pblica,Energia eletrica
Cemig,PN,CMIG4,Utilidade pblica,Energia eletrica
Centauro,ON,CNTO3,Consumo ciclico,Produtos diversos
Cesp,ON,CESP3,Utilidade pblica,Energia eletrica
Cesp,PNA,CESP5,Utilidade pblica,Energia eletrica
Cesp,PNB,CESP6,Utilidade pblica,Energia eletrica
Cia Hering,ON,HGTX3,Consumo ciclico,Vestuario
Cielo,ON,CIEL3,Financeiro,Servios financeiros diversos
Cims,ON,CMSA3,Financeiro,Outros
Cims,PN,CMSA4,Financeiro,Outros
Cinesystem,ON,CNSY3,Comunicaes,Produo e difuso de filmes e programas
Coelba,ON,CEEB3,Utilidade pblica,Energia eletrica
Coelba,PNA,CEEB5,Utilidade pblica,Energia eletrica
Coelba,PNB,CEEB6,Utilidade pblica,Energia eletrica
Coelce,ON,COCE3,Utilidade pblica,Energia eletrica
Coelce,PNA,COCE5,Utilidade pblica,Energia eletrica
Coelce,PNB,COCE6,Utilidade pblica,Energia eletrica
Cogna ON,ON,COGN3,Consumo ciclico,Servios educacionais
Comgas,ON,CGAS3,Utilidade pblica,G s
Comgas,PNA,CGAS5,Utilidade pblica,G s
Conc Rio Ter,ON,CRTE3B,Bens industriais,Explorao de rodovias
Conc Rio Ter,PNA,CRTE5B,Bens industriais,Explorao de rodovias
Const A Lind,ON,CALI3,Consumo ciclico,Incorporaes
Const A Lind,PN,CALI4,Consumo ciclico,Incorporaes
Copasa,ON,CSMG3,Utilidade pblica,gua e saneamento
Copel,ON,CPLE3,Utilidade pblica,Energia eletrica
Copel,PNA,CPLE5,Utilidade pblica,Energia eletrica
Copel,PNB,CPLE6,Utilidade pblica,Energia eletrica
Cor Ribeiro,ON,CORR3,Financeiro,Explorao de imveis
Cor Ribeiro,PN,CORR4,Financeiro,Explorao de imveis
Cosan,ON,CSAN3,Petrleo g s e biocombustiveis,Explorao refino e distribuio
Cosan Log,ON,RLOG3,Bens industriais,Transporte ferroviario
Cosern,ON,CSRN3,Utilidade pblica,Energia eletrica
Cosern,PNA,CSRN5,Utilidade pblica,Energia eletrica
Cosern,PNB,CSRN6,Utilidade pblica,Energia eletrica
