ticker,dy_17,dy_18,dy_19,roe_17,roe_18,roe_19
STBP3,0.00,0.00,0.00,0,0,1
HGTX3,6.32,2.36,2.38,21,18,15
PNVL4,0.70,2.20,0.69,15,17,15
LJQQ3,,,,,,
ABCB4,0.00,3.20,2.43,13,11,13
BMGB4,,,2.55,,,9
POMO4,0.50,2.70,1.33,4,9,9
EVEN3,0.00,0.00,0.00,-17,-8,8
BKBR3,0.00,0.24,0.51,0,7,3
LEVE3,2.39,7.17,7.50,17,22,20
ENAT3,1.40,16.47,11.94,11,13,7
CCPR3,32.47,11.49,0.00,12,3,3
SCAR3,2.65,0.00,0.79,9,1,6
TRIS3,3.42,3.90,0.46,7,13,14
MYPK3,0.35,3.23,0.81,3,10,12
JPSA3,,1.76,1.06,,8,9
CVCB3,0.95,0.82,1.03,30,24,0
CLSC3,0.00,1.00,1.36,4,9,20
SMLS3,5.84,8.89,9.42,52,64,52
DIRR3,0.00,8.13,5.87,-9,-5,9
SEQL3,,,,,,
AMBP3,,,,,,
AMAR3,0.00,0.00,0.00,-6,3,-8
VULC3,0.00,0.00,0.00,24,16,13
SEER3,0.86,2.70,8.90,13,14,10
FESA3,6.16,5.67,6.40,18,18,12
WIZS3,4.18,7.42,7.86,98,106,115
BEES3,6.93,5.33,4.76,13,12,13
ALPK3,,,,,,
SQIA3,0.34,0.75,0.24,11,5,-1
OFSA3,0.46,0.71,0.56,10,15,10
TGMA3,1.11,4.18,4.17,23,23,34
FRAS3,5.41,5.00,1.93,8,11,4
LOGN3,0.00,0.00,0.00,154,-2,4
MILS3,0.00,0.00,0.00,-16,-13,-4
MELK3,,,,,,
MTRE3,,,,,,
HBOR3,0.00,0.00,0.00,-17,-30,-6
AGRO3,1.92,4.87,4.89,17,20,11
AALR3,0.00,0.00,0.44,1,4,4
PTBL3,1.28,3.85,2.79,23,37,4
SHUL4,2.32,4.43,0.00,9,13,16
CASH3,,,,,,
GBIO33,0.00,0.00,0.00,3,9,1
BAZA3,2.44,2.64,3.53,3,6,13
KEPL3,0.00,0.00,0.85,-8,2,9
MEAL3,0.00,0.14,0.12,0,1,-1
MDNE3,,,,,,
ROMI3,1.04,8.78,6.38,6,12,17
LPSB3,0.00,0.00,0.00,-81,-224,-2
TASA3,0.00,0.00,0.00,64,15,-15
RANI4,1.01,0.00,0.50,-31,1,-24
CRPG6,2.68,13.58,3.04,18,31,19
EUCA3,1.27,1.62,0.60,3,2,5
TCSA3,0.00,0.00,0.00,-50,-36,-28
PFRM3,0.00,0.00,0.00,-15,-1,1
VLID3,2.00,5.44,4.12,3,9,5
POSI3,1.93,0.00,0.00,-9,0,4
CARD3,3.65,5.08,2.04,21,14,11
CGRA3,4.75,4.87,4.35,13,11,22
DMVF3,,,,,,
BOBR3,0.00,0.00,0.00,-87,-29,14
GFSA3,0.00,0.00,0.00,-112,-86,-1
PMAM3,0.00,0.00,0.00,-15,-54,-4
RDNI3,0.00,0.00,0.00,-14,-4,0
ETER3,0.00,0.00,0.00,-162,-1.24,650
APER3,0.00,0.00,0.00,-32,-178,1
TESA3,0.00,0.00,0.00,1,5,-14
PRNR3,,,,,,
DMMO3,0.00,0.00,0.00,-498,178,26
PINE4,0.00,0.00,0.00,-29,-7,-14
SGPS3,0.00,0.00,0.00,2,8,3
LLIS3,0.00,3.51,0.00,20,5,-8
UCAS3,0.00,0.00,2.97,-4,2,12
TPIS3,0.00,12.18,0.00,-1,-39,-29
MTSA4,3.41,0.00,0.00,6,7,8
CAMB3,0.00,0.00,0.00,767,71,29
RPMG3,0.00,0.00,0.00,10,7,8
SHOW3,1.22,4.20,0.96,14,4,-26
FHER3,0.00,0.00,0.00,-77,125,2.11
RCSL3,0.00,0.00,0.00,31,19,4
RSID3,0.00,0.00,0.00,-95,247,55
GSHP3,0.00,0.00,109.64,21,-937,-850
ATMP3,0.00,0.00,0.00,90,-266,256
TECN3,0.00,0.00,0.00,0,3,-35
ATOM3,,0.00,0.00,,200,60
PDTC3,0.00,0.00,0.00,1.10,77,22
BBRK3,0.00,0.00,0.00,-42,-30,-27
VIVR3,0.00,0.00,0.00,183,-428,164
CRDE3,0.00,0.00,0.00,-3,-13,-6
LUPA3,0.00,0.00,0.00,-4,-76,-25
PPLA11,0.00,0.00,0.00,-335,-5.40,0
PDGR3,0.00,0.00,0.00,-5,21,18
SLED4,4.25,10.09,0.00,-12,-250,184
AZEV3,0.00,0.00,0.00,109,62,14
ADHM3,0.00,0.00,0.00,44,29,26
TCNO3,0.00,0.00,0.00,-750,-100,0
